t,Cust,PrAlive
0,1000,1.000
1,631,0.631
2,468,0.468
3,382,0.382
4,326,0.326
5,289,0.289
6,262,0.262
7,241,0.241
8,223,0.223
9,207,0.207
10,194,0.194
11,183,0.183
12,173,0.173
